director,Action,Anime,British,Children & Family,Classic,Classic & Cult,Comedies,Crime,Cult,Documentaries,Documentary Series,Dramas,Horror,Independent,International,LGBTQ,Movies,Romance,Sci-Fi,Sci-Fi & Fantasy,Science & Nature,Sports,TV,Teen,Thriller
A. L. Vijay,0,0,0,0,0,0,14,0,0,0,0,6,0,0,14,0,0,0,8,0,0,0,0,0,0
A. Raajdheep,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
A. Salaam,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
A.R. Murugadoss,12,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0
Aadish Keluskar,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0
Aamir Bashir,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
Aamir Khan,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0
Aanand Rai,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
Aaron Burns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Aaron Hann,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,18,0,0,0,0,0,0
Aaron Lieber,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aaron Moorhead,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,12
Aaron Nee,13,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Aaron Sorkin,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Woodley,0,0,0,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aatmaram Dharne,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Abba T. Makama,0,0,0,0,0,0,20,0,0,0,0,10,0,20,10,0,0,0,0,0,0,0,0,0,0
Abbas Alibhai Burmawalla,24,0,0,0,0,0,10,0,0,0,0,20,0,0,40,0,0,6,0,0,0,0,0,0,0
Abbas Mustan,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Abbas Tyrewala,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
Abdellatif Kechiche,0,0,0,0,0,0,0,0,0,0,0,39,0,39,39,0,0,0,0,0,0,0,0,0,0
Abdul Aziz Hashad,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
Abdulaziz Alshlahei,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,0,0,0,0,0,0,0
Abdullah Al Noor,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
